operator,inout_travelling,network_type,rating,calldrop_category,latitude,longitude,state_name,month,has_valid_coordinates,has_valid_state,network_type_known
Airtel,Outdoor,4G,1,Poor Voice Quality,10.81888,77.20671333,Tamil Nadu,January,True,True,True
Airtel,Indoor,Unknown,3,Satisfactory,30.1047203,78.2877231,Uttarakhand,January,True,True,False
Airtel,Indoor,4G,5,Satisfactory,14.02783146,75.93148357,Karnataka,January,True,True,True
Airtel,Indoor,Unknown,5,Satisfactory,14.0274988,75.9309006,Karnataka,January,True,True,False
VI,Indoor,Unknown,5,Satisfactory,19.07012156,72.99712537,Maharashtra,January,True,True,False
RJio,Indoor,4G,3,Satisfactory,19.22249795,72.84199333,Maharashtra,January,True,True,True
RJio,Indoor,4G,1,Poor Voice Quality,19.22249795,72.84199333,Maharashtra,January,True,True,True
RJio,Travelling,4G,2,Call Dropped,28.66804519,77.47047985,Uttar Pradesh,January,True,True,True
RJio,Indoor,4G,5,Satisfactory,17.47044333,78.416705,Telangana,January,True,True,True
Airtel,Indoor,4G,5,Satisfactory,13.0726035,77.5601911,Karnataka,January,True,True,True
Airtel,Outdoor,4G,3,Satisfactory,30.10482152,78.28758545,Uttarakhand,January,True,True,True
Airtel,Indoor,4G,3,Satisfactory,30.10482152,78.28758545,Uttarakhand,January,True,True,True
VI,Indoor,4G,4,Satisfactory,18.97066753,72.83455167,Maharashtra,January,True,True,True
VI,Outdoor,4G,4,Satisfactory,18.97066753,72.83455167,Maharashtra,January,True,True,True
VI,Outdoor,4G,4,Satisfactory,18.97042409,72.83448405,Maharashtra,January,True,True,True
Airtel,Travelling,Unknown,3,Call Dropped,13.04393397,77.55772694,Karnataka,January,True,True,False
Airtel,Indoor,Unknown,5,Satisfactory,12.99764849,77.67072174,Karnataka,January,True,True,False
VI,Indoor,4G,4,Satisfactory,18.97042409,72.83448405,Maharashtra,January,True,True,True
Airtel,Indoor,2G,5,Satisfactory,12.99764849,77.67072174,Karnataka,January,True,True,True
Airtel,Outdoor,4G,1,Poor Voice Quality,30.10454836,78.28766611,Uttarakhand,January,True,True,True
Airtel,Indoor,Unknown,3,Satisfactory,30.10454836,78.28766611,Uttarakhand,January,True,True,False
Airtel,Outdoor,Unknown,5,Satisfactory,23.37982489,85.3100871,Jharkhand,January,True,True,False
Airtel,Indoor,4G,5,Satisfactory,12.9358173,77.6945328,Karnataka,January,True,True,True
VI,Indoor,4G,4,Satisfactory,18.97047,72.8342826,Maharashtra,January,True,True,True
Airtel,Indoor,2G,5,Satisfactory,12.93257887,77.69372289,Karnataka,January,True,True,True
